samples/S/S01.conllu	0
samples/S/S02.conllu	0
samples/S/S03.conllu	0
samples/S/S04.conllu	0
samples/S/S05.conllu	0
samples/S/S06.conllu	0
samples/S/S07.conllu	0
samples/S/S08.conllu	0
samples/S/S09.conllu	0
samples/S/S10.conllu	0
samples/S/S11.conllu	0
samples/S/S12.conllu	0
samples/S/S13.conllu	0
samples/S/S14.conllu	0
samples/T/T01.conllu	0
samples/T/T02.conllu	0
samples/T/T03.conllu	0
samples/T/T04.conllu	0
samples/T/T05.conllu	0
samples/T/T06.conllu	0
samples/T/T07.conllu	0
samples/T/T08.conllu	0
samples/T/T09.conllu	0
samples/T/T10.conllu	0
samples/T/T11.conllu	0
samples/T/T12.conllu	0
samples/T/T13.conllu	0
samples/T/T14.conllu	0
samples/T/T15.conllu	0
samples/T/T16.conllu	0
samples/T/T17.conllu	0
samples/T/T18.conllu	0
samples/T/T19.conllu	0
samples/T/T20.conllu	0
samples/T/T21.conllu	0
samples/T/T22.conllu	0
samples/T/T23.conllu	0
samples/T/T24.conllu	0
samples/T/T25.conllu	0
samples/T/T26.conllu	0
samples/T/T27.conllu	0
samples/T/T28.conllu	0
samples/T/T29.conllu	0
samples/T/T30.conllu	0
samples/T/T31.conllu	0
samples/T/T32.conllu	0
samples/T/T33.conllu	0
samples/T/T34.conllu	0
samples/T/T35.conllu	0
samples/T/T36.conllu	0
samples/T/T37.conllu	0
samples/P/P01.conllu	4
samples/P/P02.conllu	2
samples/P/P03.conllu	2
samples/P/P04.conllu	0
samples/P/P05.conllu	3
samples/P/P06.conllu	0
samples/P/P07.conllu	2
samples/P/P08.conllu	6
samples/P/P09.conllu	0
samples/P/P10.conllu	3
samples/P/P11.conllu	4
samples/P/P12.conllu	0
samples/P/P13.conllu	1
samples/P/P14.conllu	2
samples/P/P15.conllu	0
samples/P/P16.conllu	0
samples/P/P17.conllu	18
samples/P/P18.conllu	1
samples/P/P19.conllu	1
samples/P/P20.conllu	0
samples/P/P21.conllu	0
samples/P/P22.conllu	2
samples/P/P23.conllu	1
samples/P/P24.conllu	3
samples/P/P25.conllu	0
samples/P/P26.conllu	2
samples/P/P27.conllu	0
samples/P/P28.conllu	0
samples/P/P29.conllu	0
samples/P/P30.conllu	1
samples/P/P31.conllu	0
samples/P/P32.conllu	0
samples/P/P33.conllu	0
samples/P/P34.conllu	6
samples/P/P35.conllu	0
samples/P/P36.conllu	0
samples/P/P37.conllu	19
samples/P/P38.conllu	0
samples/P/P39.conllu	35
samples/P/P40.conllu	0
samples/P/P41.conllu	0
samples/P/P42.conllu	0
samples/P/P43.conllu	0
samples/P/P44.conllu	0
samples/P/P45.conllu	0
samples/P/P46.conllu	2
samples/P/P47.conllu	0
samples/P/P48.conllu	5
samples/P/P49.conllu	3
samples/P/P50.conllu	1
samples/P/P51.conllu	0
samples/P/P52.conllu	2
samples/P/P53.conllu	0
samples/P/P54.conllu	0
samples/P/P55.conllu	0
samples/P/P56.conllu	0
samples/P/P57.conllu	0
samples/P/P58.conllu	0
samples/P/P59.conllu	1
samples/P/P60.conllu	0
samples/P/P61.conllu	3
samples/P/P62.conllu	4
samples/P/P63.conllu	5
samples/P/P64.conllu	0
samples/P/P65.conllu	3
samples/P/P66.conllu	7
samples/P/P67.conllu	0
samples/P/P68.conllu	3
samples/P/P69.conllu	0
